0	        C6300005	17/09/19	032170919	    	ON01	032
1	  P740P20-00140	         1	   19.9000	    	0.00			                    1123	17/09/19 22:27
1	  P740T15-00138	         1	   19.9000	    	0.00			                    1123	17/09/19 22:27
1	            921	         1	   12.4500	    	0.00			                    1123	17/09/19 22:27
1	  P740T42-00140	         1	   19.9000	    	0.00			                    1122	17/09/19 21:45
1	  P740T42-00142	         1	   19.9000	    	0.00			                    1122	17/09/19 21:45
1	  P740P28-00140	         1	   19.9000	    	0.00			                    1122	17/09/19 21:45
1	  P740P28-00142	         1	   19.9000	    	0.00			                    1122	17/09/19 21:45
1	  P740T42-00138	         1	   19.9000	    	0.00			                    1122	17/09/19 21:45
1	  P740T15-00140	         1	   19.9000	    	0.00			                    1122	17/09/19 21:45
1	  P740P19-00140	         1	   19.9000	    	0.00			                    1122	17/09/19 21:45
1	            921	         1	   12.4500	    	0.00			                    1122	17/09/19 21:45
1	  P740P28-00142	         1	   19.9000	    	0.00			                    1121	17/09/19 21:21
1	  P740T15-00140	         1	   19.9000	    	0.00			                    1121	17/09/19 21:21
1	            921	         1	   12.4500	    	0.00			                    1121	17/09/19 21:21
1	  P740P28-00140	         1	   19.9000	    	0.00			                    1120	17/09/19 20:59
1	  P740T15-00140	         1	   19.9000	    	0.00			                    1120	17/09/19 20:59
1	            921	         1	   12.4500	    	0.00			                    1120	17/09/19 20:59
1	  P740T01-00136	         1	   19.0700	    	0.00			                    1119	17/09/19 20:56
1	            921	         1	   12.4500	    	0.00			                    1119	17/09/19 20:56
1	  P740P23-00142	         1	   19.9000	    	0.00			                    1118	17/09/19 20:47
1	  P740T12-00142	         1	   19.9000	    	0.00			                    1118	17/09/19 20:47
1	            921	         1	   12.4500	    	0.00			                    1118	17/09/19 20:47
1	  P740T12-00142	         1	   19.9000	    	0.00			                    1117	17/09/19 20:34
1	  P740P23-00140	         1	   19.9000	    	0.00			                    1117	17/09/19 20:34
1	            921	         1	   12.4500	    	0.00			                    1117	17/09/19 20:34
1	  P740P23-00142	         1	   19.9000	    	0.00			                    1116	17/09/19 20:32
1	  P740T12-00142	         1	   19.9000	    	0.00			                    1116	17/09/19 20:32
1	            921	         1	   24.9000	    	0.00			                    1116	17/09/19 20:32
1	  P740P23-00142	         1	   19.9000	    	0.00			                    1115	17/09/19 20:31
1	  P740T12-00142	         1	   19.9000	    	0.00			                    1115	17/09/19 20:31
1	            921	         1	   12.4500	    	0.00			                    1115	17/09/19 20:31
1	  P740P28-00142	         1	   19.9000	    	0.00			                    1114	17/09/19 19:56
1	  P740T12-00142	         1	   19.9000	    	0.00			                    1114	17/09/19 19:56
1	            921	         1	   24.9000	    	0.00			                    1114	17/09/19 19:56
