0	C6300005        	12/09/19	032120919	    	ON01	032
1	19UT128-08038  	-1        	20.0000   	    	0.00		1040                    	12/09/19 11:38
1	19UT128-08038  	-1        	20.0000   	    	0.00		1039                    	12/09/19 11:35
1	19UT128-08038  	-1        	20.0000   	    	0.00		1038                    	12/09/19 11:32
0	C6300005        	09/09/19	032090919	    	ON01	032
1	19UT128-08038  	-1        	20.0000   	    	0.00		1037                    	09/09/19 16:42
